----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1      [4, 64, 32, 112, 192]           9,408
       BatchNorm3d-2      [4, 64, 32, 112, 192]             128
              ReLU-3      [4, 64, 32, 112, 192]               0
            Conv3d-4      [4, 64, 16, 112, 192]          28,672
       BatchNorm3d-5      [4, 64, 16, 112, 192]             128
              ReLU-6      [4, 64, 16, 112, 192]               0
         SepConv3d-7      [4, 64, 16, 112, 192]               0
         MaxPool3d-8        [4, 64, 16, 56, 96]               0
            Conv3d-9        [4, 64, 16, 56, 96]           4,096
      BatchNorm3d-10        [4, 64, 16, 56, 96]             128
             ReLU-11        [4, 64, 16, 56, 96]               0
      BasicConv3d-12        [4, 64, 16, 56, 96]               0
           Conv3d-13       [4, 192, 16, 56, 96]         110,592
      BatchNorm3d-14       [4, 192, 16, 56, 96]             384
             ReLU-15       [4, 192, 16, 56, 96]               0
           Conv3d-16       [4, 192, 16, 56, 96]         110,592
      BatchNorm3d-17       [4, 192, 16, 56, 96]             384
             ReLU-18       [4, 192, 16, 56, 96]               0
        SepConv3d-19       [4, 192, 16, 56, 96]               0
        MaxPool3d-20       [4, 192, 16, 28, 48]               0
           Conv3d-21        [4, 64, 16, 28, 48]          12,288
      BatchNorm3d-22        [4, 64, 16, 28, 48]             128
             ReLU-23        [4, 64, 16, 28, 48]               0
      BasicConv3d-24        [4, 64, 16, 28, 48]               0
           Conv3d-25        [4, 96, 16, 28, 48]          18,432
      BatchNorm3d-26        [4, 96, 16, 28, 48]             192
             ReLU-27        [4, 96, 16, 28, 48]               0
      BasicConv3d-28        [4, 96, 16, 28, 48]               0
           Conv3d-29       [4, 128, 16, 28, 48]         110,592
      BatchNorm3d-30       [4, 128, 16, 28, 48]             256
             ReLU-31       [4, 128, 16, 28, 48]               0
           Conv3d-32       [4, 128, 16, 28, 48]          49,152
      BatchNorm3d-33       [4, 128, 16, 28, 48]             256
             ReLU-34       [4, 128, 16, 28, 48]               0
        SepConv3d-35       [4, 128, 16, 28, 48]               0
           Conv3d-36        [4, 16, 16, 28, 48]           3,072
      BatchNorm3d-37        [4, 16, 16, 28, 48]              32
             ReLU-38        [4, 16, 16, 28, 48]               0
      BasicConv3d-39        [4, 16, 16, 28, 48]               0
           Conv3d-40        [4, 32, 16, 28, 48]           4,608
      BatchNorm3d-41        [4, 32, 16, 28, 48]              64
             ReLU-42        [4, 32, 16, 28, 48]               0
           Conv3d-43        [4, 32, 16, 28, 48]           3,072
      BatchNorm3d-44        [4, 32, 16, 28, 48]              64
             ReLU-45        [4, 32, 16, 28, 48]               0
        SepConv3d-46        [4, 32, 16, 28, 48]               0
        MaxPool3d-47       [4, 192, 16, 28, 48]               0
           Conv3d-48        [4, 32, 16, 28, 48]           6,144
      BatchNorm3d-49        [4, 32, 16, 28, 48]              64
             ReLU-50        [4, 32, 16, 28, 48]               0
      BasicConv3d-51        [4, 32, 16, 28, 48]               0
         Mixed_3b-52       [4, 256, 16, 28, 48]               0
           Conv3d-53       [4, 128, 16, 28, 48]          32,768
      BatchNorm3d-54       [4, 128, 16, 28, 48]             256
             ReLU-55       [4, 128, 16, 28, 48]               0
      BasicConv3d-56       [4, 128, 16, 28, 48]               0
           Conv3d-57       [4, 128, 16, 28, 48]          32,768
      BatchNorm3d-58       [4, 128, 16, 28, 48]             256
             ReLU-59       [4, 128, 16, 28, 48]               0
      BasicConv3d-60       [4, 128, 16, 28, 48]               0
           Conv3d-61       [4, 192, 16, 28, 48]         221,184
      BatchNorm3d-62       [4, 192, 16, 28, 48]             384
             ReLU-63       [4, 192, 16, 28, 48]               0
           Conv3d-64       [4, 192, 16, 28, 48]         110,592
      BatchNorm3d-65       [4, 192, 16, 28, 48]             384
             ReLU-66       [4, 192, 16, 28, 48]               0
        SepConv3d-67       [4, 192, 16, 28, 48]               0
           Conv3d-68        [4, 32, 16, 28, 48]           8,192
      BatchNorm3d-69        [4, 32, 16, 28, 48]              64
             ReLU-70        [4, 32, 16, 28, 48]               0
      BasicConv3d-71        [4, 32, 16, 28, 48]               0
           Conv3d-72        [4, 96, 16, 28, 48]          27,648
      BatchNorm3d-73        [4, 96, 16, 28, 48]             192
             ReLU-74        [4, 96, 16, 28, 48]               0
           Conv3d-75        [4, 96, 16, 28, 48]          27,648
      BatchNorm3d-76        [4, 96, 16, 28, 48]             192
             ReLU-77        [4, 96, 16, 28, 48]               0
        SepConv3d-78        [4, 96, 16, 28, 48]               0
        MaxPool3d-79       [4, 256, 16, 28, 48]               0
           Conv3d-80        [4, 64, 16, 28, 48]          16,384
      BatchNorm3d-81        [4, 64, 16, 28, 48]             128
             ReLU-82        [4, 64, 16, 28, 48]               0
      BasicConv3d-83        [4, 64, 16, 28, 48]               0
         Mixed_3c-84       [4, 480, 16, 28, 48]               0
        MaxPool3d-85        [4, 480, 8, 14, 24]               0
           Conv3d-86        [4, 192, 8, 14, 24]          92,160
      BatchNorm3d-87        [4, 192, 8, 14, 24]             384
             ReLU-88        [4, 192, 8, 14, 24]               0
      BasicConv3d-89        [4, 192, 8, 14, 24]               0
           Conv3d-90         [4, 96, 8, 14, 24]          46,080
      BatchNorm3d-91         [4, 96, 8, 14, 24]             192
             ReLU-92         [4, 96, 8, 14, 24]               0
      BasicConv3d-93         [4, 96, 8, 14, 24]               0
           Conv3d-94        [4, 208, 8, 14, 24]         179,712
      BatchNorm3d-95        [4, 208, 8, 14, 24]             416
             ReLU-96        [4, 208, 8, 14, 24]               0
           Conv3d-97        [4, 208, 8, 14, 24]         129,792
      BatchNorm3d-98        [4, 208, 8, 14, 24]             416
             ReLU-99        [4, 208, 8, 14, 24]               0
       SepConv3d-100        [4, 208, 8, 14, 24]               0
          Conv3d-101         [4, 16, 8, 14, 24]           7,680
     BatchNorm3d-102         [4, 16, 8, 14, 24]              32
            ReLU-103         [4, 16, 8, 14, 24]               0
     BasicConv3d-104         [4, 16, 8, 14, 24]               0
          Conv3d-105         [4, 48, 8, 14, 24]           6,912
     BatchNorm3d-106         [4, 48, 8, 14, 24]              96
            ReLU-107         [4, 48, 8, 14, 24]               0
          Conv3d-108         [4, 48, 8, 14, 24]           6,912
     BatchNorm3d-109         [4, 48, 8, 14, 24]              96
            ReLU-110         [4, 48, 8, 14, 24]               0
       SepConv3d-111         [4, 48, 8, 14, 24]               0
       MaxPool3d-112        [4, 480, 8, 14, 24]               0
          Conv3d-113         [4, 64, 8, 14, 24]          30,720
     BatchNorm3d-114         [4, 64, 8, 14, 24]             128
            ReLU-115         [4, 64, 8, 14, 24]               0
     BasicConv3d-116         [4, 64, 8, 14, 24]               0
        Mixed_4b-117        [4, 512, 8, 14, 24]               0
          Conv3d-118        [4, 160, 8, 14, 24]          81,920
     BatchNorm3d-119        [4, 160, 8, 14, 24]             320
            ReLU-120        [4, 160, 8, 14, 24]               0
     BasicConv3d-121        [4, 160, 8, 14, 24]               0
          Conv3d-122        [4, 112, 8, 14, 24]          57,344
     BatchNorm3d-123        [4, 112, 8, 14, 24]             224
            ReLU-124        [4, 112, 8, 14, 24]               0
     BasicConv3d-125        [4, 112, 8, 14, 24]               0
          Conv3d-126        [4, 224, 8, 14, 24]         225,792
     BatchNorm3d-127        [4, 224, 8, 14, 24]             448
            ReLU-128        [4, 224, 8, 14, 24]               0
          Conv3d-129        [4, 224, 8, 14, 24]         150,528
     BatchNorm3d-130        [4, 224, 8, 14, 24]             448
            ReLU-131        [4, 224, 8, 14, 24]               0
       SepConv3d-132        [4, 224, 8, 14, 24]               0
          Conv3d-133         [4, 24, 8, 14, 24]          12,288
     BatchNorm3d-134         [4, 24, 8, 14, 24]              48
            ReLU-135         [4, 24, 8, 14, 24]               0
     BasicConv3d-136         [4, 24, 8, 14, 24]               0
          Conv3d-137         [4, 64, 8, 14, 24]          13,824
     BatchNorm3d-138         [4, 64, 8, 14, 24]             128
            ReLU-139         [4, 64, 8, 14, 24]               0
          Conv3d-140         [4, 64, 8, 14, 24]          12,288
     BatchNorm3d-141         [4, 64, 8, 14, 24]             128
            ReLU-142         [4, 64, 8, 14, 24]               0
       SepConv3d-143         [4, 64, 8, 14, 24]               0
       MaxPool3d-144        [4, 512, 8, 14, 24]               0
          Conv3d-145         [4, 64, 8, 14, 24]          32,768
     BatchNorm3d-146         [4, 64, 8, 14, 24]             128
            ReLU-147         [4, 64, 8, 14, 24]               0
     BasicConv3d-148         [4, 64, 8, 14, 24]               0
        Mixed_4c-149        [4, 512, 8, 14, 24]               0
          Conv3d-150        [4, 128, 8, 14, 24]          65,536
     BatchNorm3d-151        [4, 128, 8, 14, 24]             256
            ReLU-152        [4, 128, 8, 14, 24]               0
     BasicConv3d-153        [4, 128, 8, 14, 24]               0
          Conv3d-154        [4, 128, 8, 14, 24]          65,536
     BatchNorm3d-155        [4, 128, 8, 14, 24]             256
            ReLU-156        [4, 128, 8, 14, 24]               0
     BasicConv3d-157        [4, 128, 8, 14, 24]               0
          Conv3d-158        [4, 256, 8, 14, 24]         294,912
     BatchNorm3d-159        [4, 256, 8, 14, 24]             512
            ReLU-160        [4, 256, 8, 14, 24]               0
          Conv3d-161        [4, 256, 8, 14, 24]         196,608
     BatchNorm3d-162        [4, 256, 8, 14, 24]             512
